Wall time,Step,Value
1691692512.579231,10000,-1341.1551513671875
1691692847.274334,15000,-1251.45849609375
1691693198.6442702,20000,-839.8843994140625
1691693564.592706,25000,-790.0492553710938
1691693651.9612548,30000,-72.26864624023438
1691693726.3880708,35000,-55.12892150878906
1691693801.265044,40000,-46.95272445678711
1691693877.34426,45000,-37.699485778808594
1691693960.3119402,50000,-37.836761474609375
1691694039.216181,55000,-52.864498138427734
1691694117.102494,60000,-64.02540588378906
1691694194.9546828,65000,-64.91979217529297
1691694272.816093,70000,-61.76693344116211
1691694353.16147,75000,-57.46630096435547
1691694433.193109,80000,-54.79969024658203
1691694511.560766,85000,-54.345703125
