Wall time,Step,Value
1691692632.473679,10000,-971.46728515625
1691693002.5906901,15000,-1175.438720703125
1691693404.8655849,20000,-823.1629028320312
1691693785.444225,25000,-922.542236328125
1691694183.970712,30000,-887.7030639648438
1691694566.7038798,35000,-925.4151000976562
1691694928.116261,40000,-1048.007080078125
1691695275.077309,45000,-1498.0904541015625
1691695618.917912,50000,-1548.351806640625
1691695957.1588638,55000,-2014.916259765625
1691696307.012606,60000,-1784.882080078125
