Wall time,Step,Value
1691692368.322183,10000,-87.45013427734375
1691692441.177792,15000,-84.89894104003906
1691692516.1978319,20000,-126.55372619628906
1691692590.361238,25000,-116.3906478881836
1691692665.852958,30000,-94.19567108154297
1691692741.339079,35000,-145.6113739013672
1691693156.67959,40000,-1226.2061767578125
1691693600.244643,45000,-1037.399169921875
1691693880.30713,50000,-163.74545288085938
1691694113.703993,55000,-60.730186462402344
1691694575.89534,60000,-1416.019775390625
1691694974.84553,65000,-1640.9515380859375
1691695374.46739,70000,-1905.311767578125
1691695777.826777,75000,-2632.29931640625
1691696164.3700962,80000,-2271.195068359375
1691696547.9148018,85000,-2466.481689453125
1691696927.029026,90000,-2635.681396484375
1691697300.380588,95000,-2420.664306640625
