Wall time,Step,Value
1691949857.8714461,30000,-505.92913818359375
1691949957.908085,45000,-459.6211853027344
1691950063.233995,60000,-572.8145751953125
1691950162.377943,75000,-374.961669921875
1691950262.8494039,90000,-370.5564880371094
1691950574.865867,105000,-132.33917236328125
1691950862.461529,120000,-119.24372863769531
1691950986.80556,135000,-318.4568176269531
1691951287.725845,150000,-93.92179107666016
1691951607.275537,165000,-98.4796142578125
1691951927.838391,180000,-104.53165435791016
1691952249.877206,195000,-96.63970184326172
1691952574.334151,210000,-85.54720306396484
